"townid","town","county","x","full_address","full_address_Ire","lon","lat"
1177,"Killimor","Galway","","Killimor,Galway","Killimor,Galway,Ireland",-8.2910516,53.1656231
1590,"Killinarden","Dublin","","Killinarden,Dublin","Killinarden,Dublin,Ireland",-6.3882759,53.2737006
312,"Killinchy","","","Killinchy,","Killinchy,,Ireland",-5.6754973,54.4726542
382,"Killiney","Dublin","","Killiney,Dublin","Killiney,Dublin,Ireland",-6.1149485,53.2650114
940,"Killinick","Wexford","","Killinick,Wexford","Killinick,Wexford,Ireland",-6.4563656,52.2561002
2573,"Killinkere","Cavan","","Killinkere,Cavan","Killinkere,Cavan,Ireland",-7.0664068,53.8855694
1489,"Killoe","Longford","","Killoe,Longford","Killoe,Longford,Ireland",-7.6961895,53.7569903
526,"Killorglin","Kerry","","Killorglin,Kerry","Killorglin,Kerry,Ireland",-9.7843403,52.1063508
1210,"Killoscully","Tipperary","","Killoscully,Tipperary","Killoscully,Tipperary,Ireland",-8.3272242,52.7696056
2149,"Killoteran","","","Killoteran,","Killoteran,,Ireland",-7.2060007,52.2411831
1578,"Killough","","","Killough,","Killough,,Ireland",-5.64008,54.25085
908,"Killucan","Westmeath","","Killucan,Westmeath","Killucan,Westmeath,Ireland",-7.1427857,53.5136852
1366,"Killumney","Cork","","Killumney,Cork","Killumney,Cork,Ireland",-8.6588064,51.8628897
1593,"Killure","Waterford","","Killure,Waterford","Killure,Waterford,Ireland",-7.0947955,52.2191012
2210,"Killurin","Wexford","","Killurin,Wexford","Killurin,Wexford,Ireland",-6.5825884,52.3810067
269,"Killybegs","Donegal","","Killybegs,Donegal","Killybegs,Donegal,Ireland",-8.4547084,54.6347625
2630,"Killygarry","Cavan","","Killygarry,Cavan","Killygarry,Cavan,Ireland",-7.3280767,53.9894354
270,"Killygordon","Donegal","","Killygordon,Donegal","Killygordon,Donegal,Ireland",-7.6835354,54.7968309
2360,"Killykeen","","","Killykeen,","Killykeen,,Ireland",-7.4704806,53.9993114
313,"Killyleagh","Down","","Killyleagh,Down","Killyleagh,Down,Ireland",-5.6507954,54.3999861
383,"Kilmacanogue","","","Kilmacanogue,","Kilmacanogue,,Ireland",-6.13946,53.16901
